['/Users/mikes/Documents/.localized', 741.29, 'Day(s)', 1442498408.0]
['/Users/mikes/Documents/balance.xls', 522.1, 'Day(s)', 1461436787.0]
['/Users/mikes/Documents/ForAnca.xlsx', 1414.41, 'Day(s)', 1384341159.0]
['/Users/mikes/Documents/GermanDrivingSigns.pdf', 408.42, 'Day(s)', 1471258056.0]
['/Users/mikes/Documents/Hello my 42.docx', 2080.74, 'Day(s)', 1326769844.0]
['/Users/mikes/Documents/iLoveYouFormula.docx', 2090.26, 'Day(s)', 1325947176.0]
['/Users/mikes/Documents/new.jpg', 1281.94, 'Day(s)', 1395786428.0]
['/Users/mikes/Documents/passport.pdf', 2353.48, 'Day(s)', 1303204996.0]
['/Users/mikes/Documents/Portal2.receipt.xps', 2352.11, 'Day(s)', 1303323778.0]
['/Users/mikes/Documents/ppnew.pdf', 429.1, 'Day(s)', 1469471904.0]
['/Users/mikes/Documents/progressivemenofMontana.Part1.bowe.pdf', 1488.07, 'Day(s)', 1377976716.0]
['/Users/mikes/Documents/sagariaLawPayments', 2144.03, 'Day(s)', 1321301424.0]
['/Users/mikes/Documents/scnew.txt', 1269.09, 'Day(s)', 1396896858.0]
['/Users/mikes/Documents/spidersfrommars.txt', 1887.4, 'Day(s)', 1343474176.0]
['/Users/mikes/Documents/spk.txt', 457.37, 'Day(s)', 1467028740.0]
['/Users/mikes/Documents/Taurus transfer of ownership letter.pdf', 1805.46, 'Day(s)', 1350554404.0]
['/Users/mikes/Documents/Thumbs.db', 751.1, 'Day(s)', 1441650901.0]
['/Users/mikes/Documents/tmp623685-ScanRankerMetrics.txt.gz', 470.25, 'Day(s)', 1465916524.0]
['/Users/mikes/Documents/VodaphonePin.txt', 1401.18, 'Day(s)', 1385483510.0]
['/Users/mikes/Documents/What do I want to do with my life.book.pdf', 2657.08, 'Day(s)', 1276973742.0]
['/Users/mikes/Documents/2227 Spruce st/CMARightmire.pdf', 2657.07, 'Day(s)', 1276974738.0]
['/Users/mikes/Documents/2227 Spruce st/RightmireClosingCostsEst.pdf', 2657.07, 'Day(s)', 1276974738.0]
['/Users/mikes/Documents/Absentee Ballots/2012/fwab.pdf', 1898.58, 'Day(s)', 1342508942.0]
['/Users/mikes/Documents/Absentee Ballots/2012/fwab_envelope.pdf', 1898.57, 'Day(s)', 1342509036.0]
